"country","country isocode","year","POP"
"Netherlands","NLD","1950","10113.527"
"Netherlands","NLD","1951","10264.311"
"Netherlands","NLD","1952","10381.988"
"Netherlands","NLD","1953","10493.184"
"Netherlands","NLD","1954","10615.38"
"Netherlands","NLD","1955","10750.842"
"Netherlands","NLD","1956","10889.351"
"Netherlands","NLD","1957","11026.383"
"Netherlands","NLD","1958","11186.875"
"Netherlands","NLD","1959","11347.639"
"Netherlands","NLD","1960","11486"
"Netherlands","NLD","1961","11638.713"
"Netherlands","NLD","1962","11805.689"
"Netherlands","NLD","1963","11965.966"
"Netherlands","NLD","1964","12127.12"
"Netherlands","NLD","1965","12292"
"Netherlands","NLD","1966","12454.8"
"Netherlands","NLD","1967","12596.822"
"Netherlands","NLD","1968","12724.68"
"Netherlands","NLD","1969","12873"
"Netherlands","NLD","1970","13032.335"
"Netherlands","NLD","1971","13193.776"
"Netherlands","NLD","1972","13329.874"
"Netherlands","NLD","1973","13438.404"
"Netherlands","NLD","1974","13540.584"
"Netherlands","NLD","1975","13653.438"
"Netherlands","NLD","1976","13769.913"
"Netherlands","NLD","1977","13852.989"
"Netherlands","NLD","1978","13936.754"
"Netherlands","NLD","1979","14030.002"
"Netherlands","NLD","1980","14143.901"
"Netherlands","NLD","1981","14246.049"
"Netherlands","NLD","1982","14310.401"
"Netherlands","NLD","1983","14362.381"
"Netherlands","NLD","1984","14420.022"
"Netherlands","NLD","1985","14491.38"
"Netherlands","NLD","1986","14571.875"
"Netherlands","NLD","1987","14665.278"
"Netherlands","NLD","1988","14761.339"
"Netherlands","NLD","1989","14848.907"
"Netherlands","NLD","1990","14951.51"
"Netherlands","NLD","1991","15066.22"
"Netherlands","NLD","1992","15174.244"
"Netherlands","NLD","1993","15274.942"
"Netherlands","NLD","1994","15382.198"
"Netherlands","NLD","1995","15459.054"
"Netherlands","NLD","1996","15527.809"
"Netherlands","NLD","1997","15604.464"
"Netherlands","NLD","1998","15699.259"
"Netherlands","NLD","1999","15801.947"
"Netherlands","NLD","2000","15907.853"
"Netherlands","NLD","2001","16017.445"
"Netherlands","NLD","2002","16122.83"
"Netherlands","NLD","2003","16223.248"
"Netherlands","NLD","2004","16318.199"
"Netherlands","NLD","2005","16407.491"
"Netherlands","NLD","2006","16491.461"
"Netherlands","NLD","2007","16570.613"
"Netherlands","NLD","2008","16645.313"
"Netherlands","NLD","2009","16715.999"
"Netherlands","NLD","2010","16783.092"
